               Team   G   W   L   T    PCT    GB   RS   RA  Diff   XPCT      Home      Road     vs D     vs H     vs T     vs B     vs C     vs V Inter
0  Chunichi Dragons  83  48  30   5  0.615    --  353  250   103  0.653  24-13(1)  24-17(4)       --     10-5  11-9(2)   8-5(2)  10-8(1)      9-3    --
1    SoftBank Hawks  87  49  35   3  0.583   2.0  375  289    86  0.617  31-20(1)  18-15(2)     5-10       --      7-9  11-9(2)  13-3(1)     11-4   2-0
2    Hanshin Tigers  91  47  38   6  0.553   4.5  370  322    48  0.563  23-17(5)  24-21(1)  9-11(2)      9-7       --   5-6(3)  11-8(1)     11-5   2-1
3    ORIX Buffaloes  92  41  40  11  0.506   8.5  328  300    28  0.541  23-23(5)  18-17(6)   5-8(2)  9-11(2)   6-5(3)       --  8-11(3)  12-5(1)   1-0
4    Hiroshima Carp  91  37  48   6  0.435  14.5  308  412  -104  0.370  17-25(3)  20-23(3)  8-10(1)  3-13(1)  8-11(1)  11-8(3)       --      7-6    --
5   HAYATE Ventures  84  28  55   1  0.337  22.5  205  373  -168  0.251  14-20(1)     14-35      3-9     4-11     5-11  5-12(1)      6-7       --   5-5
