#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,Team,League
,Itayama Yutaro,108,370,337,42,81,11,3,8,122,40,7,3,3,1,79,28,0,1,4,0.240,0.300,0.362,0.662,93,0.122,0.291,21.4%,7.6%,0.35,0.4,31.1%,25,,L,Hanshin Tigers,WL
,Kumagai Takahiro,114,421,363,43,85,17,2,2,112,43,17,14,21,3,67,33,0,1,8,0.234,0.298,0.309,0.607,77,0.075,0.279,15.9%,7.8%,0.49,-1.5,24.2%,23,,R,Hanshin Tigers,WL
,Obata Ryuhei,99,340,316,35,71,11,2,1,89,14,9,5,9,0,79,15,0,0,6,0.225,0.260,0.282,0.542,58,0.057,0.297,23.2%,4.4%,0.19,0.0,27.9%,18,,L,Hanshin Tigers,WL
,Shimada Kairi,89,375,327,33,79,6,2,2,95,20,18,13,5,1,63,37,0,5,6,0.242,0.327,0.291,0.618,82,0.049,0.293,16.8%,9.9%,0.59,-1.0,27.2%,23,9,L,Hanshin Tigers,WL
,Hayashi Kota,102,348,315,26,71,19,5,7,121,35,2,2,0,3,67,26,0,4,7,0.225,0.290,0.384,0.674,97,0.159,0.262,19.3%,7.5%,0.39,-0.2,28.7%,18,,L,Hiroshima Carp,WL
,Santana Juan,96,346,324,37,87,16,2,7,128,40,6,7,0,1,38,19,1,2,7,0.269,0.312,0.395,0.707,107,0.126,0.286,11.0%,5.5%,0.50,-1.1,18.5%,24,3,R,Hiroshima Carp,WL
,Shozui Yuya,105,374,336,29,70,18,4,6,114,39,4,1,4,4,62,27,0,3,6,0.208,0.270,0.339,0.609,78,0.131,0.235,16.6%,7.2%,0.44,0.5,25.4%,23,,R,Hiroshima Carp,WL
,Sekine Taiki,83,346,304,58,100,14,7,12,164,44,8,6,2,0,44,37,1,3,3,0.329,0.407,0.539,0.946,178,0.210,0.355,12.7%,10.7%,0.84,-0.4,26.9%,24,9,L,DeNA BayStars,EL
,Kitamura Takumi,112,457,369,63,107,25,1,8,158,66,5,6,1,5,83,70,1,12,10,0.290,0.414,0.428,0.842,145,0.138,0.350,18.2%,15.3%,0.84,-0.8,35.2%,23,5,R,Yomiuri Giants,EL
,Matsubara Seiya,96,375,334,62,96,15,4,5,134,28,17,20,8,1,54,32,0,0,4,0.287,0.349,0.401,0.750,117,0.114,0.330,14.4%,8.5%,0.59,-3.5,24.3%,24,,L,Yomiuri Giants,EL
,Yamashita Kota,90,344,319,52,106,21,4,7,156,40,6,12,0,1,42,21,0,3,7,0.332,0.378,0.489,0.867,150,0.157,0.365,12.2%,6.1%,0.50,-2.7,20.3%,18,7,L,Yomiuri Giants,EL
,Fujii Ryota,121,445,392,59,110,15,2,6,147,45,11,11,16,2,53,33,0,2,12,0.281,0.338,0.375,0.713,107,0.094,0.310,11.9%,7.4%,0.62,-1.5,20.7%,30,5,L,Yakult Swallows,EL
,Hamada Taiki,105,372,338,41,86,21,1,8,133,52,11,2,2,1,95,29,0,2,10,0.254,0.316,0.393,0.709,106,0.139,0.331,25.5%,7.8%,0.31,1.4,35.5%,18,7,R,Yakult Swallows,EL
,Yoshida Taisei,101,355,294,39,70,12,1,4,96,31,10,8,9,4,63,41,0,7,5,0.238,0.341,0.327,0.668,95,0.089,0.286,17.7%,11.5%,0.65,-0.7,30.4%,24,5,L,Yakult Swallows,EL
,Ishikawa Shun,85,330,300,30,95,17,3,5,133,44,2,3,1,3,47,16,0,10,8,0.317,0.368,0.443,0.811,128,0.126,0.359,14.2%,4.8%,0.34,-0.4,20.6%,29,3,R,Chunichi Dragons,WL
,Neo Akira,108,444,410,32,86,18,6,2,122,33,9,3,0,2,127,28,0,4,7,0.210,0.266,0.298,0.564,60,0.088,0.297,28.6%,6.3%,0.22,0.7,35.4%,19,6,L,Chunichi Dragons,WL
,Gibo Sho,111,417,375,29,85,11,2,0,100,20,13,6,6,1,89,34,0,1,9,0.227,0.292,0.267,0.559,67,0.040,0.296,21.3%,8.2%,0.38,0.5,29.5%,18,6,L,ORIX Buffaloes,WL
,Nemoto Kaoru,117,416,371,41,85,17,0,0,102,19,21,11,2,3,107,36,0,4,12,0.229,0.302,0.275,0.577,73,0.046,0.318,25.7%,8.7%,0.34,0.2,34.4%,20,,L,ORIX Buffaloes,WL
,Chatani Kenta,118,422,377,38,102,18,2,6,142,48,8,3,10,3,68,24,0,8,11,0.271,0.325,0.377,0.702,100,0.106,0.314,16.1%,5.7%,0.35,0.6,23.2%,21,,R,Lotte Marines,EL
,Matsuda Shin,100,337,269,44,58,8,0,6,84,27,11,5,17,1,69,43,0,7,9,0.216,0.338,0.312,0.650,87,0.096,0.267,20.5%,12.8%,0.62,0.4,35.0%,24,6,R,Lotte Marines,EL
