Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Kajitani Takayuki,30,7,35.0,0.0,0.0,0.1,-0.1,,0.0,-0.3,,,DeNA BayStars,CL
Kajitani Takayuki,30,8,80.0,-0.8,-12.9,-1.5,0.7,,0.0,0.3,,,DeNA BayStars,CL
Kajitani Takayuki,30,9,77.0,1.1,18.4,1.8,-0.8,,0.0,-0.3,,,DeNA BayStars,CL
Hirata Ryosuke,31,9,817.0,3.1,4.9,-1.2,4.0,,0.3,-3.2,,,Chunichi Dragons,CL
Kuwahara Masayuki,25,7,6.0,0.1,21.4,-0.2,0.3,,0.0,-0.1,,,DeNA BayStars,CL
Kuwahara Masayuki,25,8,136.1,4.0,37.8,2.3,1.7,,0.1,0.4,,,DeNA BayStars,CL
Kuwahara Masayuki,25,9,78.0,-1.4,-23.1,-0.8,-0.7,,0.0,-0.3,,,DeNA BayStars,CL
Kinami Seiya,25,3,28.0,-1.3,-59.8,-1.3,,-0.1,0.0,-0.3,,,Hanshin Tigers,CL
Kinami Seiya,25,4,19.2,1.1,71.9,1.0,,0.0,0.1,0.1,,,Hanshin Tigers,CL
Kinami Seiya,25,6,773.0,2.9,4.8,4.8,,1.3,-3.3,6.2,,,Hanshin Tigers,CL
Sakaguchi Tomotaka,34,3,80.2,0.1,1.6,0.6,,-0.1,-0.4,-0.9,,,Yakult Swallows,CL
Sakaguchi Tomotaka,34,7,18.0,-0.6,-42.9,-0.9,0.3,,0.0,-0.2,,,Yakult Swallows,CL
Sakaguchi Tomotaka,34,8,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Yakult Swallows,CL
Sakaguchi Tomotaka,34,9,47.0,-1.8,-49.3,-1.3,-0.6,,0.0,-0.2,,,Yakult Swallows,CL
Sakaguchi Tomotaka,34,DH,1.0,,,,,,,0.0,,,Yakult Swallows,CL
Tanaka Kosuke,29,6,761.1,-1.4,-2.4,0.1,,-0.7,-0.8,6.1,,,Hiroshima Carp,CL
Yoshikawa Naoki,24,4,85.0,0.6,9.1,0.3,,0.5,-0.2,0.2,,,Yomiuri Giants,CL
Asama Daiki,23,5,67.0,-1.6,-30.7,-0.6,,0.0,-1.1,-0.2,,,Nipponham Fighters,PL
Asama Daiki,23,7,6.0,0.6,128.7,0.6,0.0,,0.0,-0.1,,,Nipponham Fighters,PL
Fukuda Shuhei,26,4,1089.0,-0.7,-0.8,-0.9,,0.3,-0.2,2.9,,,ORIX Buffaloes,PL
Fukuda Shuhei,26,6,49.2,2.9,75.1,1.8,,0.7,0.4,0.4,,,ORIX Buffaloes,PL
Fujiwara Kyota,19,8,34.0,1.0,37.9,1.3,-0.4,,0.0,0.1,,,Lotte Marines,PL
Fujiwara Kyota,19,DH,1.0,,,,,,,0.0,,,Lotte Marines,PL
Tanaka Kazuki,24,8,344.2,-2.5,-9.3,-2.0,-0.7,,0.2,1.1,,,Rakuten Eagles,PL
Tanaka Kazuki,24,9,60.2,1.6,33.9,2.3,-0.7,,0.0,-0.2,,,Rakuten Eagles,PL
Oka Hiromi,27,3,19.1,-0.6,-40.0,-0.6,,0.0,0.0,-0.2,,,Lotte Marines,PL
Oka Hiromi,27,8,149.2,-0.8,-6.9,0.1,-1.0,,0.1,0.5,,,Lotte Marines,PL
Oka Hiromi,27,9,226.2,0.3,1.7,0.8,-0.6,,0.1,-0.9,,,Lotte Marines,PL
Oka Hiromi,27,DH,4.0,,,,,,,0.0,,,Lotte Marines,PL
Makihara Taisei,26,4,378.1,0.0,0.0,2.8,,-2.0,-0.8,1.0,,,SoftBank Hawks,PL
Makihara Taisei,26,6,122.0,1.8,19.0,1.9,,-0.3,0.2,1.0,,,SoftBank Hawks,PL
Makihara Taisei,26,7,44.0,-0.9,-26.3,-0.7,-0.2,,0.0,-0.4,,,SoftBank Hawks,PL
Makihara Taisei,26,8,301.2,4.2,17.9,2.3,1.8,,0.2,1.0,,,SoftBank Hawks,PL
Makihara Taisei,26,9,67.0,-0.9,-17.3,-0.4,-0.5,,0.0,-0.3,,,SoftBank Hawks,PL
Kaneko Yuji,29,7,1023.0,15.7,19.8,12.7,2.3,,0.7,-9.5,,,Seibu Lions,PL
Kaneko Yuji,29,9,90.2,-1.3,-18.4,-0.5,-0.9,,0.1,-0.4,,,Seibu Lions,PL
Miki Ryo,27,3,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,Lotte Marines,PL
Miki Ryo,27,4,35.0,-2.1,-77.2,-1.1,,-0.4,-0.6,0.1,,,Lotte Marines,PL
Miki Ryo,27,5,34.2,-1.3,-48.2,-1.5,,-0.1,0.3,-0.1,,,Lotte Marines,PL
Miki Ryo,27,6,324.2,-3.7,-14.7,-3.7,,-0.7,0.6,2.6,,,Lotte Marines,PL
Miki Ryo,27,DH,2.0,,,,,,,0.0,,,Lotte Marines,PL
Yokoo Toshitake,26,3,17.0,0.4,30.3,0.3,,0.0,0.0,-0.2,,,Nipponham Fighters,PL
Yokoo Toshitake,26,5,375.2,-0.8,-2.7,0.2,,-0.1,-0.9,-1.4,,,Nipponham Fighters,PL
Yokoo Toshitake,26,7,2.0,-0.5,-321.8,-0.5,0.0,,0.0,0.0,,,Nipponham Fighters,PL
Yokoo Toshitake,26,DH,13.0,,,,,,,-0.2,,,Nipponham Fighters,PL
Kusumoto Taishi,23,7,37.0,-2.2,-76.5,-2.3,0.1,,0.0,-0.3,,,DeNA BayStars,CL
Kusumoto Taishi,23,8,18.0,0.2,14.3,0.2,0.1,,0.0,0.1,,,DeNA BayStars,CL
Kusumoto Taishi,23,9,73.2,0.5,8.7,0.0,0.4,,0.0,-0.3,,,DeNA BayStars,CL
Toritani Takashi,38,6,86.0,-2.8,-41.9,-3.2,,0.5,-0.2,0.7,,,Hanshin Tigers,CL
Toritani Takashi,38,DH,1.0,,,,,,,0.0,,,Hanshin Tigers,CL
Hirooka Taishi,22,3,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,Yakult Swallows,CL
Hirooka Taishi,22,5,152.0,-0.2,-1.7,0.5,,0.4,-1.1,-0.6,,,Yakult Swallows,CL
Hirooka Taishi,22,6,346.2,-7.1,-26.4,-5.9,,1.3,-2.4,2.8,,,Yakult Swallows,CL
Nishikawa Haruki,27,8,1242.2,1.4,1.4,7.2,-6.5,,0.7,4.1,,,Nipponham Fighters,PL
Hirasawa Taiga,21,3,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,Lotte Marines,PL
Hirasawa Taiga,21,6,283.2,2.4,10.9,2.4,,-0.2,0.2,2.3,,,Lotte Marines,PL
Hirasawa Taiga,21,9,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Lotte Marines,PL
Yoshikawa Daiki,26,4,18.0,-0.4,-28.6,-0.6,,0.1,0.1,0.0,,,Yomiuri Giants,CL
Yoshikawa Daiki,26,5,7.0,0.0,0.0,-0.1,,0.1,0.0,0.0,,,Yomiuri Giants,CL
Yoshikawa Daiki,26,6,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,Yomiuri Giants,CL
Araki Takahiro,31,3,84.1,0.9,13.7,0.8,,-0.1,0.1,-0.9,,,Yakult Swallows,CL
Araki Takahiro,31,4,9.0,0.4,57.2,0.1,,0.3,0.0,0.0,,,Yakult Swallows,CL
Araki Takahiro,31,5,6.0,-0.1,-21.4,-0.2,,0.0,0.1,0.0,,,Yakult Swallows,CL
Araki Takahiro,31,7,40.2,2.7,85.4,2.0,0.7,,0.0,-0.4,,,Yakult Swallows,CL
Araki Takahiro,31,8,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Yakult Swallows,CL
Araki Takahiro,31,9,13.0,0.3,29.7,0.3,0.0,,0.0,-0.1,,,Yakult Swallows,CL
Shiomi Yasutaka,26,7,17.1,1.0,74.4,0.6,0.4,,0.0,-0.2,,,Yakult Swallows,CL
Shiomi Yasutaka,26,8,134.2,0.6,5.7,1.1,0.2,,-0.7,0.4,,,Yakult Swallows,CL
Shiomi Yasutaka,26,9,41.0,0.0,0.0,0.3,-0.3,,0.0,-0.2,,,Yakult Swallows,CL
Hojo Fumiya,24,5,83.1,1.9,29.4,1.8,,0.0,0.1,-0.3,,,Hanshin Tigers,CL
Hojo Fumiya,24,6,313.2,-1.2,-4.9,1.6,,-0.2,-2.6,2.5,,,Hanshin Tigers,CL
Nagasaka Kenya,25,2,2.0,0.0,0.0,,0.0,,0.0,0.0,,,Hanshin Tigers,CL
Ogino Takashi,33,7,12.0,1.0,107.2,1.0,0.0,,0.0,-0.1,,,Lotte Marines,PL
Ogino Takashi,33,8,1031.0,-3.8,-4.7,-6.6,2.1,,0.7,3.4,,,Lotte Marines,PL
Ogino Takashi,33,9,17.2,1.0,72.7,0.9,0.0,,0.0,-0.1,,,Lotte Marines,PL
Tamura Tatsuhiro,25,2,759.2,2.3,3.9,,2.4,,-0.1,10.7,,,Lotte Marines,PL
Uemoto Hiroki,32,3,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,Hanshin Tigers,CL
Uemoto Hiroki,32,4,139.2,-3.2,-29.5,-2.0,,-0.5,-0.8,0.4,,,Hanshin Tigers,CL
Villanueva Christian,28,3,14.1,-0.1,-9.0,-0.1,,-0.1,0.0,-0.2,,,Yomiuri Giants,CL
Villanueva Christian,28,4,4.2,-0.5,-136.9,0.2,,0.0,-0.7,0.0,,,Yomiuri Giants,CL
Villanueva Christian,28,5,459.0,-2.4,-6.7,-3.1,,0.3,0.3,-1.7,,,Yomiuri Giants,CL
Kamizato Kazuki,25,7,7.2,0.8,133.7,0.8,0.0,,0.0,-0.1,,,DeNA BayStars,CL
Kamizato Kazuki,25,8,855.1,3.0,4.5,2.4,0.9,,-0.3,2.8,,,DeNA BayStars,CL
Kamizato Kazuki,25,9,33.0,-1.8,-70.2,-1.8,0.0,,0.0,-0.1,,,DeNA BayStars,CL
Takeda Aito,22,7,44.0,0.7,20.5,0.9,-0.2,,0.0,-0.4,,,Seibu Lions,PL
Takeda Aito,22,9,106.1,2.7,32.7,1.3,1.3,,0.1,-0.4,,,Seibu Lions,PL
Takeda Aito,22,DH,6.0,,,,,,,-0.1,,,Seibu Lions,PL
Chikamoto Koji,24,7,28.2,0.0,0.0,-0.3,0.3,,0.0,-0.3,,,Hanshin Tigers,CL
Chikamoto Koji,24,8,1206.1,-2.9,-3.1,-10.0,8.2,,-1.1,3.9,,,Hanshin Tigers,CL
Kumashiro Masato,30,3,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,Seibu Lions,PL
