#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
,Baba Kosuke,19,5,7,0,0,0,421,102.1,89,7,88,30,1,1,9,44,36,3.17,3.65,3.42,1.16,110,89,92,-0.48,1.7%,20.9%,7.1%,13.8%,Hanshin Tigers,24,R,WL
,Lawrence Casey,21,4,7,0,0,0,462,105.2,125,12,73,15,0,7,2,59,53,4.51,4.30,3.54,1.32,76,106,95,0.21,2.6%,15.8%,3.2%,12.6%,Hiroshima Carp,31,R,WL
,Nakagawa Koo,20,11,3,1,0,0,433,104.0,81,4,93,50,0,2,14,33,26,2.25,3.79,3.81,1.26,152,94,102,-1.54,0.9%,21.5%,11.5%,9.9%,DeNA BayStars,19,R,EL
,Takata Hosei,20,6,6,0,0,0,456,108.1,119,4,87,20,0,6,3,44,36,2.99,3.17,3.33,1.28,118,76,89,-0.18,0.9%,19.1%,4.4%,14.7%,Yomiuri Giants,20,R,EL
,Azuma Kohei,19,5,7,0,1,0,405,96.0,105,9,77,29,0,1,6,47,41,3.84,4.13,3.61,1.40,87,105,97,-0.29,2.2%,19.0%,7.2%,11.9%,ORIX Buffaloes,19,R,WL
,Nakata Kenichi,21,6,3,0,0,0,414,95.1,98,3,58,40,0,3,4,35,32,3.02,4.12,4.37,1.45,116,99,117,-1.10,0.7%,14.0%,9.7%,4.3%,SoftBank Hawks,37,R,WL
,Fujihira Shoma,19,9,2,0,3,2,481,117.2,91,9,107,49,0,4,7,41,38,2.91,4.10,3.59,1.19,120,99,96,-1.19,1.9%,22.2%,10.2%,12.1%,Rakuten Eagles,20,R,EL
,Aiuchi Makoto,20,6,6,1,1,0,419,100.1,81,9,79,39,0,7,1,41,32,2.87,4.54,3.85,1.20,125,107,103,-1.67,2.1%,18.9%,9.3%,9.5%,Seibu Lions,24,R,EL
