Team,W,L,PCT,Diff,HR,SB,OPS+,ERA+,FIP-,K-BB%,wSB,TZR
DeNA BayStars,71,69,0.507,-15,163,40,97,101,95,12.0%,-3.3,-12.0
Chunichi Dragons,68,73,0.482,19,90,63,103,97,108,11.9%,-2.1,41.3
Hanshin Tigers,69,68,0.504,-28,94,100,96,107,96,12.7%,3.5,-16.0
Yakult Swallows,59,82,0.418,-83,167,62,94,90,97,10.6%,0.6,-60.4
Hiroshima Carp,70,70,0.500,-10,140,81,101,104,102,10.1%,-2.1,-30.7
Yomiuri Giants,77,64,0.546,90,183,83,107,108,95,12.7%,5.8,-6.1
Nipponham Fighters,65,73,0.471,-26,93,48,95,102,97,12.0%,-1.8,26.6
ORIX Buffaloes,61,75,0.449,-93,102,122,86,95,100,11.0%,-0.3,-4.5
Lotte Marines,69,70,0.496,31,158,75,109,96,104,11.4%,-0.5,-12.8
Rakuten Eagles,71,68,0.511,36,141,48,102,105,99,11.6%,-6.1,48.1
SoftBank Hawks,76,62,0.551,18,183,113,102,107,102,11.2%,1.5,-8.3
Seibu Lions,80,62,0.563,61,174,134,110,94,107,6.5%,4.8,29.0
