Team,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
Hanshin Tigers,69,68,36,145,5,3,5445,1289.2,1209,115,1135,444,29,53,39,566,496,3.46,3.92,3.53,1.28,107,96,95.7,-0.46,2.1%,20.8%,8.2%,12.7%,CL
Hiroshima Carp,70,70,23,95,10,4,5515,1280.1,1198,135,1068,513,32,48,28,601,527,3.70,4.38,3.79,1.34,104,102,102.9,-0.68,2.4%,19.4%,9.3%,10.1%,CL
DeNA BayStars,71,69,30,111,6,6,5470,1274.0,1201,137,1172,518,62,36,35,611,557,3.93,4.23,3.60,1.35,101,95,97.7,-0.30,2.5%,21.4%,9.5%,12.0%,CL
Yomiuri Giants,77,64,34,112,3,1,5459,1279.1,1227,150,1139,446,25,58,24,573,536,3.77,4.29,3.53,1.31,108,95,95.7,-0.52,2.7%,20.9%,8.2%,12.7%,CL
Yakult Swallows,59,82,28,111,3,1,5608,1270.0,1365,168,1068,473,23,46,49,739,676,4.79,4.63,3.74,1.45,90,97,101.4,0.16,3.0%,19.0%,8.4%,10.6%,CL
Chunichi Dragons,68,73,37,123,3,2,5352,1269.0,1155,146,1088,452,22,50,42,544,525,3.72,4.34,3.61,1.27,97,108,97.9,-0.61,2.7%,20.3%,8.4%,11.9%,CL
ORIX Buffaloes,61,75,38,113,5,2,5490,1283.2,1233,137,1092,486,28,43,39,637,579,4.06,4.29,3.70,1.34,95,100,100.2,-0.23,2.5%,19.9%,8.9%,11.0%,PL
Lotte Marines,69,70,29,125,4,2,5490,1280.2,1245,143,1110,485,21,50,32,611,556,3.91,4.34,3.66,1.35,96,104,99.3,-0.43,2.6%,20.2%,8.8%,11.4%,PL
SoftBank Hawks,76,62,49,137,3,2,5446,1278.0,1114,137,1160,550,11,67,35,564,515,3.63,4.39,3.68,1.30,107,102,99.8,-0.77,2.5%,21.3%,10.1%,11.2%,PL
Rakuten Eagles,71,68,38,150,3,1,5410,1284.1,1150,142,1084,459,18,49,29,578,533,3.74,4.30,3.64,1.25,105,99,98.8,-0.57,2.6%,20.0%,8.5%,11.6%,PL
Seibu Lions,80,62,35,91,3,2,5623,1281.2,1313,143,875,509,10,93,56,695,621,4.36,4.86,4.15,1.42,94,107,112.5,-0.50,2.5%,15.6%,9.1%,6.5%,PL
Nipponham Fighters,65,73,36,138,1,1,5287,1265.2,1141,135,1046,409,19,40,46,586,529,3.76,4.17,3.60,1.22,102,97,97.5,-0.40,2.6%,19.8%,7.7%,12.0%,PL
League Average,70,70,34,121,4,2,5466,1278.0,1213,141,1086,479,25,53,38,609,554,3.90,4.35,3.69,1.32,100,100,100.0,-0.44,2.6%,19.9%,8.8%,11.1%,
