Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
Akiyama Takumi,13,10,2,0,0,0,303,77.2,71,9,58,10,0,2,2,26,23,2.67,4.05,3.22,1.04,131,98,86,-1.38,3.0%,19.1%,3.3%,15.8%,Hanshin Tigers,28,R,WL
Aoyagi Koyo,1,1,0,0,0,0,25,6.0,5,0,3,2,0,0,1,0,0,0.00,3.58,4.40,1.17,999,87,118,-3.58,0.0%,12.0%,8.0%,4.0%,Hanshin Tigers,25,R,WL
Baba Kosuke,19,5,7,0,0,0,421,102.1,89,7,88,30,1,1,9,44,36,3.17,3.65,3.42,1.16,110,89,92,-0.48,1.7%,20.9%,7.1%,13.8%,Hanshin Tigers,24,R,WL
Dolis Rafael,2,0,0,0,0,0,9,2.0,2,0,2,1,0,1,2,3,3,13.50,4.58,3.69,1.50,26,111,99,8.92,0.0%,22.2%,11.1%,11.1%,Hanshin Tigers,31,R,WL
Fujikawa Kyuji,1,0,0,0,0,0,4,1.0,1,0,1,0,0,0,0,0,0,0.00,1.58,2.30,1.00,999,38,62,-1.58,0.0%,25.0%,0.0%,25.0%,Hanshin Tigers,38,R,WL
Fujinami Shintaro,14,3,6,0,1,0,322,75.0,75,2,72,27,0,7,3,35,32,3.84,3.36,3.40,1.36,91,82,91,0.48,0.6%,22.4%,8.4%,14.0%,Hanshin Tigers,25,R,WL
Fukunaga Shungo,44,1,3,7,0,0,198,46.2,51,1,42,13,0,1,4,22,20,3.86,2.95,3.34,1.37,90,72,89,0.91,0.5%,21.2%,6.6%,14.6%,Hanshin Tigers,25,R,WL
Garcia Onelki,5,3,0,0,1,1,120,33.0,18,0,22,6,0,0,0,3,3,0.82,2.79,3.47,0.73,425,68,93,-1.97,0.0%,18.3%,5.0%,13.3%,Hanshin Tigers,29,L,WL
Hamachi Masumi,12,0,1,1,0,0,124,29.1,28,1,24,10,0,0,0,10,8,2.45,3.41,3.67,1.30,142,83,98,-0.96,0.8%,19.4%,8.1%,11.3%,Hanshin Tigers,21,R,WL
Iida Yuya,42,3,3,5,0,0,165,38.2,30,2,35,17,1,1,2,14,12,2.79,3.83,3.71,1.22,125,93,99,-1.04,1.2%,21.2%,10.3%,10.9%,Hanshin Tigers,28,L,WL
Ishii Masaki,48,2,2,1,0,0,178,41.2,37,5,21,18,2,0,8,17,16,3.46,5.42,4.63,1.32,101,131,124,-1.96,2.8%,11.8%,10.1%,1.7%,Hanshin Tigers,23,L,WL
Ishizaki Tsuyoshi,18,0,1,1,0,0,63,16.1,13,0,23,4,0,0,1,2,2,1.10,1.49,1.78,1.04,317,36,48,-0.39,0.0%,36.5%,6.3%,30.2%,Hanshin Tigers,28,R,WL
Ito Kazuo,2,1,0,1,0,0,14,3.0,5,0,5,1,0,0,0,1,1,3.00,1.24,1.94,2.00,116,30,52,1.76,0.0%,35.7%,7.1%,28.6%,Hanshin Tigers,29,R,WL
Iwasada Yuta,6,2,2,0,0,0,108,27.0,22,1,21,7,0,1,0,9,9,3.00,3.39,3.50,1.07,116,82,94,-0.39,0.9%,19.4%,6.5%,13.0%,Hanshin Tigers,27,L,WL
Iwata Minoru,9,2,2,0,0,0,147,37.0,35,1,21,5,0,2,2,12,9,2.19,3.36,3.71,1.08,159,81,99,-1.17,0.7%,14.3%,3.4%,10.9%,Hanshin Tigers,35,L,WL
Iwazaki Suguru,6,1,0,1,0,0,56,14.0,10,3,12,5,0,1,0,5,5,3.21,5.93,3.55,1.07,109,144,95,-2.72,5.4%,21.4%,8.9%,12.5%,Hanshin Tigers,28,L,WL
Lu Yen-Ching,22,1,7,0,0,0,259,56.2,60,5,53,32,1,5,3,31,30,4.76,4.81,3.99,1.62,73,117,107,-0.05,1.9%,20.5%,12.4%,8.1%,Hanshin Tigers,23,L,WL
Maki Joichiro,15,0,1,0,0,0,112,24.2,24,3,18,13,0,1,0,18,18,6.57,5.40,4.35,1.50,53,131,117,1.17,2.7%,16.1%,11.6%,4.5%,Hanshin Tigers,19,R,WL
