PlayerNum,Player,Link,BirthDate,Height,Weight,T,B,Note,Team,jpPlayer
21,Akiyama Takumi,https://npb.jp/bis/eng/players/51155131.html,Apr. 26 1991,188,103,R,L,,Hanshin Tigers,秋山 拓巳
44,Alcantara Raul,https://npb.jp/bis/eng/players/03505153.html,Dec. 4 1992,193,109,R,R,,Hanshin Tigers,アルカンタラ
50,Aoyagi Koyo,https://npb.jp/bis/eng/players/71175132.html,Dec. 11 1993,183,83,R,R,,Hanshin Tigers,青柳 晃洋
18,Baba Kosuke,https://npb.jp/bis/eng/players/41445136.html,May 18 1995,180,96,R,R,,Hanshin Tigers,馬場 皐輔
14,Chen Wei-Yin,https://npb.jp/bis/eng/players/21625119.html,Jul. 21 1985,183,86,L,R,Released (Jun. 29).,Hanshin Tigers,チェン・ウェイン
19,Fujinami Shintaro,https://npb.jp/bis/eng/players/41045137.html,Apr. 12 1994,197,98,R,R,,Hanshin Tigers,藤浪 晋太郎
49,Gunkel Joe,https://npb.jp/bis/eng/players/93395151.html,Dec. 30 1991,199,101,R,R,,Hanshin Tigers,ガンケル
36,Hamachi Masumi,https://npb.jp/bis/eng/players/71675134.html,May 25 1998,185,92,R,R,,Hanshin Tigers,浜地 真澄
69,Ishii Daichi,https://npb.jp/bis/eng/players/41145153.html,Jul. 29 1997,175,79,R,R,,Hanshin Tigers,石井 大智
27,Itoh Masashi,https://npb.jp/bis/eng/players/71375153.html,May 8 1996,178,84,L,L,,Hanshin Tigers,伊藤 将司
17,Iwasada Yuta,https://npb.jp/bis/eng/players/51355139.html,Sep. 5 1991,183,86,L,L,,Hanshin Tigers,岩貞 祐太
13,Iwazaki Suguru,https://npb.jp/bis/eng/players/31335139.html,Jun. 19 1991,185,88,L,L,,Hanshin Tigers,岩崎 優
42,Rodriguez Aderlin,https://npb.jp/bis/eng/players/13915151.html,Nov. 18 1991,191,95,R,R,,Hanshin Tigers,ロドリゲス
54,Kajiya Ren,https://npb.jp/bis/eng/players/21525139.html,Nov. 25 1991,185,91,R,R,,Hanshin Tigers,加治屋 蓮
2,Kivlehan Patrick,https://npb.jp/bis/players/63265155.html,Dec. 22 1989,188,98,R,R,,Yakult Swallows,キブレハン
209,Revilla Pedro,https://npb.jp/bis/eng/players/33435155.html,Mar. 23 1999,175,100,R,R,,Chunichi Dragons,レビーラ
42,Keller Kyle,https://npb.jp/bis/eng/players/73975155.html,Apr. 28 1993,193,86,R,R,,Hanshin Tigers,ケラー
47,Kirishiki Takuma,https://npb.jp/bis/eng/players/01705155.html,Jun. 20 1999,178,90,L,L,,Hanshin Tigers,桐敷 拓馬
56,Kobayashi Keisuke,https://npb.jp/bis/eng/players/21725134.html,Nov. 2 1992,188,90,R,R,,Hanshin Tigers,小林 慶祐
20,Moriki Daichi,https://npb.jp/bis/eng/players/03305155.html,Apr. 17 2003,184,90,R,R,,Hanshin Tigers,森木 大智
43,Moriya Kouki,https://npb.jp/bis/eng/players/51855130.html,Nov. 25 1993,184,87,R,R,,Hanshin Tigers,守屋 功輝
41,Murakami Shoki,https://npb.jp/bis/eng/players/13315153.html,Jun. 25 1998,174,79,R,L,,Hanshin Tigers,村上 頌樹
34,Niho Akira,https://npb.jp/bis/eng/players/61265118.html,May 18 1990,182,77,R,R,,Hanshin Tigers,二保 旭
15,Nishi Junya,https://npb.jp/bis/eng/players/91495151.html,Sep. 13 2001,184,90,R,R,,Hanshin Tigers,西 純矢
16,Nishi Yuki,https://npb.jp/bis/eng/players/71275118.html,Nov. 10 1990,181,82,R,R,,Hanshin Tigers,西 勇輝
66,Ogawa Ippei,https://npb.jp/bis/eng/players/11715151.html,Jun. 3 1997,183,82,R,R,,Hanshin Tigers,小川 一平
64,Okadome Hidetaka,https://npb.jp/bis/eng/players/11515155.html,Nov. 7 1999,180,87,R,R,,Hanshin Tigers,岡留 英貴
40,Onaka Yuya,https://npb.jp/bis/eng/players/61365134.html,Jan. 31 1995,173,75,R,L,,Hanshin Tigers,尾仲 祐哉
98,Ono Taiki,https://npb.jp/bis/eng/players/81385134.html,May 30 1994,186,75,R,R,,Hanshin Tigers,小野 泰己
37,Oyokawa Masaki,https://npb.jp/bis/eng/players/91795151.html,Apr. 18 2001,184,79,L,L,,Hanshin Tigers,及川 雅貴
35,Saiki Hiroto,https://npb.jp/bis/eng/players/41745134.html,Nov. 7 1998,189,88,R,R,Registered(developmental player ->) (May 6).,Hanshin Tigers,才木 浩人
