ColumnName,PlayerName,Error,Revision
Player,Mercedes Cristopher Crisostomo,Mercedes Cristopher Crisostomo,Mercedes CC
Player,Davis Jonathan,Davis Jonathan,Davis JD
Age,Davis JD,,32
B,Davis JD,,R
Age,Sakamoto Hayato,23,36
jpPlayer,Sumitani Ginjiro,炭谷 銀仁朗,炭谷 銀仁朗
