Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,1,0,0,0,0,0,.000,8,2,,2,0,0,0,0,2,0,0,1,1,4.50,Hanshin Tigers,
Baba Kosuke,4,0,0,0,0,0,.000,26,6,,5,0,4,0,0,4,0,0,1,1,1.50,Hanshin Tigers,
Edwards Jon,9,0,0,1,0,0,.000,32,8,.2,4,0,3,0,0,10,0,2,0,0,0.00,Hanshin Tigers,
Fujikawa Kyuji,2,0,0,0,0,0,.000,9,2,,2,0,1,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Fujinami Shintaro,4,3,0,0,0,0,1.000,85,22,,10,0,10,0,0,29,0,0,1,1,0.41,Hanshin Tigers,
Fukunaga Shungo,30,3,2,2,0,0,.600,144,32,,33,1,19,0,1,25,3,0,16,14,3.94,Hanshin Tigers,
Garcia Onelki,3,1,1,0,0,0,.500,74,19,,19,2,2,0,0,10,0,0,6,4,1.89,Hanshin Tigers,
Gunkel Joe,1,0,0,0,0,0,.000,15,5,,1,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Hamachi Masumi,24,1,0,4,0,0,1.000,116,26,,29,4,9,0,0,23,1,0,15,10,3.46,Hanshin Tigers,
Iida Yuya,10,2,1,0,0,0,.667,74,18,,19,0,6,1,0,18,0,0,7,7,3.50,Hanshin Tigers,
Ishii Masaki,27,0,0,1,0,0,.000,102,24,,17,0,10,0,1,13,1,0,5,4,1.50,Hanshin Tigers,
Itoh Kazuo,9,0,2,1,0,0,.000,31,7,.1,7,0,4,0,0,6,0,0,4,3,3.68,Hanshin Tigers,
Iwata Minoru,9,1,3,0,0,0,.250,126,31,,31,0,7,0,1,30,0,0,12,10,2.90,Hanshin Tigers,
Iwazaki Suguru,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Kawahara Riku,3,0,2,0,0,0,.000,36,7,,8,0,6,0,0,4,0,0,6,4,5.14,Hanshin Tigers,
Kobayashi Keisuke,10,1,1,1,0,0,.500,39,9,.1,11,1,1,0,1,6,0,0,5,5,4.82,Hanshin Tigers,
Kuwahara Kentaro,13,0,1,1,0,0,.000,58,13,,15,1,4,0,0,16,1,0,8,8,5.54,Hanshin Tigers,
Lu Yen-Ching,16,1,4,0,0,0,.200,171,40,,38,4,17,0,1,36,5,0,24,14,3.15,Hanshin Tigers,
Maki Johichiro,22,0,1,0,0,0,.000,161,36,.1,40,2,17,0,2,23,3,0,22,19,4.71,Hanshin Tigers,
Mochizuki Atsushi,11,1,1,2,0,0,.500,94,20,.2,24,0,12,0,1,10,3,1,15,15,6.53,Hanshin Tigers,
Moriya Kouki,9,0,1,0,0,0,.000,36,8,.1,8,0,1,0,1,9,0,0,5,2,2.16,Hanshin Tigers,
Nakata Kenichi,10,2,4,0,0,0,.333,201,46,.1,42,3,22,0,6,29,6,0,20,18,3.50,Hanshin Tigers,
Nishi Junya,11,4,3,0,0,0,.571,201,45,,46,6,27,0,3,27,3,0,21,20,4.00,Hanshin Tigers,
Nohmi Atsushi,2,0,0,0,0,0,.000,8,2,,2,0,0,0,0,3,0,0,0,0,0.00,Hanshin Tigers,
Ogawa Ippei,7,1,0,0,0,0,1.000,29,8,,3,0,2,1,0,6,1,1,1,1,1.13,Hanshin Tigers,
Onaka Yuya,21,0,0,4,0,0,.000,87,19,.2,28,3,2,0,0,10,1,0,16,15,6.86,Hanshin Tigers,
Ono Taiki,15,0,4,0,0,0,.000,125,22,.2,33,4,27,0,2,14,2,3,29,29,11.51,Hanshin Tigers,
Oyokawa Masaki,9,2,4,0,0,0,.333,145,33,,38,7,13,0,0,11,3,0,25,22,6.00,Hanshin Tigers,
Saiki Hiroto,5,0,1,0,0,0,.000,71,16,,17,1,4,0,0,17,1,0,7,6,3.38,Hanshin Tigers,
Saitoh Yukiya,17,2,3,0,0,0,.400,191,46,,39,1,20,0,4,51,6,1,18,14,2.74,Hanshin Tigers,
Shimamoto Hiroya,1,0,1,0,0,0,.000,7,1,,2,0,2,0,0,2,0,0,2,2,18.00,Hanshin Tigers,
Takahashi Haruto,4,0,1,0,0,0,.000,32,9,,7,0,1,0,0,9,2,0,2,2,2.00,Hanshin Tigers,
Takano Keisuke,20,0,1,0,0,0,.000,204,41,.2,54,6,27,0,5,23,6,1,29,27,5.83,Hanshin Tigers,
Tanigawa Masaki,21,1,0,3,0,0,1.000,99,22,,29,0,7,0,0,17,1,0,10,10,4.09,Hanshin Tigers,
Yokoyama Yuya,16,4,2,0,0,0,.667,282,67,.1,55,6,25,1,2,35,0,0,24,19,2.54,Hanshin Tigers,
Aduwa Makoto,8,2,4,0,0,0,.333,138,29,,43,2,12,0,1,15,1,1,21,20,6.21,Hiroshima Carp,
Corniel Robert,10,1,1,1,0,0,.500,50,12,,12,1,4,0,0,11,0,0,5,4,3.00,Hiroshima Carp,
Fujii Kouya,27,2,2,2,0,0,.500,124,27,.1,26,1,18,0,0,22,2,0,17,14,4.61,Hiroshima Carp,
Fujii Reira,18,0,1,1,0,0,.000,96,24,.2,13,1,8,0,0,28,1,0,5,3,1.09,Hiroshima Carp,
Hiraoka Takato,16,1,1,0,0,0,.500,80,17,.1,21,2,7,0,1,17,1,0,18,18,9.35,Hiroshima Carp,
Ichioka Ryuji,19,1,0,0,0,0,1.000,85,19,,17,2,10,0,1,16,3,0,8,8,3.79,Hiroshima Carp,
Imamura Takeru,23,2,1,0,0,0,.667,103,23,.2,23,2,11,0,0,19,1,0,13,13,4.94,Hiroshima Carp,
Johnson DJ,12,0,0,0,0,0,.000,51,12,,9,0,6,0,2,13,5,0,3,3,2.25,Hiroshima Carp,
Johnson Kris,8,2,3,0,0,0,.400,179,39,.2,46,3,21,0,0,30,2,0,21,18,4.08,Hiroshima Carp,
Kemna Makoto,3,0,0,1,0,0,.000,10,3,,2,0,0,0,0,3,0,0,1,0,0.00,Hiroshima Carp,
Mena Alfredo,15,3,2,0,0,0,.600,190,45,.2,39,1,16,0,2,45,2,0,15,15,2.96,Hiroshima Carp,
Montilla Emailin,14,2,2,0,0,0,.500,175,37,.2,46,2,20,0,0,34,4,0,23,21,5.02,Hiroshima Carp,
Nakamura Kyohei,12,1,1,0,0,0,.500,56,12,.2,11,1,8,0,0,16,1,0,6,5,3.55,Hiroshima Carp,
Nakamura Yuta,10,3,4,0,0,0,.429,232,55,,60,5,10,0,0,31,1,2,28,25,4.09,Hiroshima Carp,
Nakata Ren,8,1,0,1,0,0,1.000,30,7,.1,5,0,4,0,0,7,1,0,1,1,1.23,Hiroshima Carp,
Nakazaki Shota,5,0,0,0,0,0,.000,21,5,,3,0,4,0,0,4,0,0,1,1,1.80,Hiroshima Carp,
Nomura Yusuke,5,1,2,0,0,0,.333,104,24,.2,25,1,9,0,0,21,0,0,12,8,2.92,Hiroshima Carp,
Okada Akitake,14,0,4,0,0,0,.000,128,29,.1,16,2,25,0,2,21,8,0,20,17,5.22,Hiroshima Carp,
