Team,G,W,L,T,PCT,GB,Home,Road,vsG,vsT,vsD,vsDB,vsC,vsS,
YomiuriGiants,120,67,45,8,.598,--,39-18(3),28-27(5),--,16-8,12-10(2),12-12,12-9(3),15-6(3),
HanshinTigers,120,60,53,7,.531,7.5,37-19(4),23-34(3),8-16,--,14-10,12-9(3),13-8(3),13-10(1),
ChunichiDragons,120,60,55,5,.522,8.5,36-20(4),24-35(1),10-12(2),10-14,--,15-9,10-13(1),15-7(2),
YOKOHAMA DeNABAYSTARS,120,56,58,6,.491,12.0,33-24(3),23-34(3),12-12,9-12(3),9-15,--,14-8(2),12-11(1),
Hiroshima ToyoCarp,120,52,56,12,.481,13.0,25-27(8),27-29(4),9-12(3),8-13(3),13-10(1),8-14(2),--,14-7(3),
Tokyo YakultSwallows,120,41,69,10,.373,25.0,24-34(2),17-35(8),6-15(3),10-13(1),7-15(2),11-12(1),7-14(3),--,
