Batter,Team,Bats,PA,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Kurebayashi Kotaro,ORIX,R,446,12.78026906,7.399103139,47.89719626,66.96730552,27.36077482,80.6097561,88.55218855,59.73451327,9.287383178,19.3902439,25.99299065,58.93691589,41.02564103,48.43304843,10.54131054,40.17094017,8.262108262,58.97435897,2.01793722,5.294117647,26.21082621,47.86324786,25.92592593,12.21590909
Terachi Ryusei,Lotte,L,445,14.83146067,4.04494382,50.24783147,67.11560045,29.46058091,82.73736128,90.96989967,59.62441315,8.674101611,17.26263872,26.51796778,61.58612144,55.27065527,37.32193732,7.407407407,27.35042735,9.971509972,44.72934473,1.123595506,3.816793893,26.78062678,49.85754986,23.36182336,8.522727273
Nishikawa Misho,Lotte,R,445,19.1011236,3.595505618,53.47264905,70.01140251,34.13333333,79.1954023,89.90228013,53.515625,11.12476951,20.8045977,27.16656423,62.26183159,49.24924925,41.44144144,9.309309309,32.43243243,9.009009009,50.75075075,0.6741573034,2.173913043,26.12612613,47.74774775,26.12612613,9.226190476
Makihara Taisei,SoftBank,L,443,13.99548533,1.58013544,61.1030479,76.57534247,43.67283951,77.79097387,93.73881932,46.28975265,13.57039187,22.20902613,24.96371553,64.1509434,56.71232877,33.15068493,10.1369863,26.84931507,6.301369863,43.28767123,1.128668172,4.132231405,43.56164384,43.01369863,13.42465753,14.63414634
Takizawa Natsuo,Seibu,L,440,15.22727273,6.363636364,43.17365269,57.03544576,25.71041949,87.51733703,94.35028249,68.42105263,5.389221557,12.48266297,28.20359281,61.79640719,57.56676558,33.23442136,9.198813056,24.92581602,8.308605341,42.43323442,0.0,0.0,31.15727003,45.99406528,22.84866469,9.384164223
Nakamura Akira,SoftBank,L,432,11.11111111,11.34259259,36.69775096,52.42616034,19.6347032,86.69656203,93.15895372,68.02325581,4.882062534,13.30343797,29.29237521,56.55512891,45.84615385,43.38461538,10.76923077,31.38461538,12.0,54.15384615,0.6944444444,2.127659574,34.76923077,40.61538462,24.61538462,15.70996979
Shuto Ukyo,SoftBank,L,429,17.01631702,8.158508159,43.997669,60.7580825,25.64102564,84.90066225,92.11009174,66.19047619,6.643356643,15.09933775,26.86480186,57.75058275,61.36363636,27.5974026,11.03896104,24.02597403,3.571428571,38.63636364,0.6993006993,3.529411765,25.32467532,46.42857143,28.24675325,5.396825397
Hosokawa Seiya,Chunichi,R,427,25.52693208,12.88056206,42.35361001,63.68159204,24.34691745,67.91946309,79.1015625,43.34763948,13.58726549,32.08053691,30.01705514,53.66685617,37.6,55.2,7.2,44.0,11.2,62.4,4.683840749,14.49275362,41.2,38.4,20.4,20.9486166
Gunji Yuya,Nipponham,R,424,16.50943396,10.61320755,42.82380397,60.15283843,22.93233083,81.74386921,89.65517241,57.92349727,7.817969662,18.25613079,28.82147025,57.52625438,48.82154882,40.06734007,11.11111111,31.31313131,8.754208754,51.17845118,2.358490566,8.403361345,33.33333333,45.79124579,20.87542088,16.05351171
Tatsumi Ryosuke,Rakuten,L,422,21.56398104,9.478672986,44.79750779,66.58767773,20.63074901,75.10431154,84.34163701,42.03821656,11.15264798,24.89568846,28.28660436,56.63551402,50.89605735,39.78494624,9.318996416,32.61648746,7.168458781,49.10394265,1.658767773,6.306306306,35.12544803,44.80286738,20.07168459,8.510638298
Yamamoto Daito,Lotte,R,419,26.73031026,5.727923628,55.33419023,75.74193548,35.08322663,68.757259,81.77172061,40.87591241,17.28791774,31.242741,29.24164524,62.08226221,40.29304029,53.47985348,6.227106227,37.36263736,16.11721612,59.70695971,2.625298329,7.534246575,45.42124542,36.26373626,18.31501832,23.1884058
