Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,18,11,3,0,0,2,0,.786,435,112,,97,17,12,1,0,64,2,0,45,36,2.89,Hanshin Tigers,
Aoyagi Koyo,21,7,9,0,0,1,0,.438,510,120,.2,111,4,44,3,5,88,2,0,51,45,3.36,Hanshin Tigers,
Baba Kosuke,32,2,1,0,9,0,0,.667,136,30,.1,28,1,16,1,1,27,4,0,12,7,2.08,Hanshin Tigers,
Edwards Jon,23,0,1,0,12,0,0,.000,86,22,.2,17,2,3,0,2,17,0,0,6,6,2.38,Hanshin Tigers,
Fujikawa Kyuji,16,1,3,2,1,0,0,.250,65,13,.1,16,3,9,0,1,15,1,0,11,9,6.08,Hanshin Tigers,
Fujinami Shintaro,24,1,6,0,7,0,0,.143,341,76,.1,71,5,40,1,2,85,4,0,47,34,4.01,Hanshin Tigers,
Fukunaga Shungo,1,0,0,0,0,0,0,.000,6,1,,3,0,0,0,0,1,1,0,2,2,18.00,Hanshin Tigers,
Garcia Onelki,14,2,6,0,0,0,0,.250,326,75,.1,71,9,35,2,1,51,4,1,39,37,4.42,Hanshin Tigers,
Gunkel Joe,28,2,4,0,11,0,0,.333,232,56,.2,54,6,13,1,3,39,0,0,21,20,3.18,Hanshin Tigers,
Hamachi Masumi,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
Ishii Masaki,1,0,0,0,0,0,0,.000,7,1,,2,0,2,0,0,0,0,0,1,1,9.00,Hanshin Tigers,
Itoh Kazuo,15,1,1,0,1,0,0,.500,74,15,.1,8,0,20,3,0,15,1,0,7,6,3.52,Hanshin Tigers,
Iwasada Yuta,38,7,3,0,8,0,0,.700,298,71,,67,7,23,1,0,63,3,0,32,26,3.30,Hanshin Tigers,
Iwata Minoru,5,1,2,0,0,0,0,.333,107,22,.2,26,1,15,1,2,15,0,0,16,16,6.35,Hanshin Tigers,
Iwazaki Suguru,41,5,2,2,17,0,0,.714,163,39,.2,26,2,15,1,2,37,3,0,9,8,1.82,Hanshin Tigers,
Kobayashi Keisuke,2,0,0,0,0,0,0,.000,14,3,,3,0,2,1,0,5,0,0,0,0,0.00,Hanshin Tigers,
Kuwahara Kentaro,12,0,0,0,2,0,0,.000,43,10,.1,7,2,4,0,0,8,1,0,4,4,3.48,Hanshin Tigers,
Mochizuki Atsushi,16,0,0,0,0,0,0,.000,81,19,,18,2,8,0,0,18,3,0,11,11,5.21,Hanshin Tigers,
Moriya Kouki,3,0,0,0,0,0,0,.000,23,4,,6,1,4,0,2,3,0,0,5,5,11.25,Hanshin Tigers,
Nakata Kenichi,3,0,2,0,0,0,0,.000,53,10,.2,18,0,5,0,0,11,0,0,9,9,7.59,Hanshin Tigers,
