Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
田代 将太郎,ヤ,CF,55.7,-0.4,0.1,-,-0.6,0.0,0.2,-,-,
田代 将太郎,ヤ,RF,52.3,0.3,0.7,-,-0.4,0.0,-0.2,-,-,
宇草 孔基,広,LF,62.0,-2.5,-1.3,-,-1.2,0.0,-0.6,-,-,
宇草 孔基,広,CF,25.0,-0.1,-0.3,-,0.2,0.0,0.1,-,-,
髙部 瑛斗,ロ,LF,9.0,0.2,0.2,-,0.0,0.0,-0.1,-,-,
髙部 瑛斗,ロ,RF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
髙部 瑛斗,ロ,DH,9.0,-,-,-,-,-,-0.1,-,-,
エスコバー,ヤ,3B,280.3,-6.4,-6.4,-0.1,-,0.2,-1.1,-,-,
エスコバー,ヤ,SS,563.0,-14.6,-13.9,-0.4,-,-0.3,4.6,-,-,
藤原 恭大,ロ,LF,108.3,1.2,1.4,-,-0.3,0.1,-1.0,-,-,
藤原 恭大,ロ,CF,88.0,1.9,2.6,-,-0.7,0.1,0.3,-,-,
植田 海,神,2B,239.7,1.3,2.4,-0.7,-,-0.3,0.6,-,-,
植田 海,神,LF,5.0,-0.5,-0.5,-,0.0,0.0,0.0,-,-,
植田 海,神,CF,12.0,0.9,1.3,-,-0.4,0.0,0.0,-,-,
松井 佑介,オ,1B,45.0,-1.0,-0.4,-0.1,-,-0.5,-0.5,-,-,
松井 佑介,オ,LF,31.7,-1.1,-1.2,-,0.0,0.0,-0.3,-,-,
松井 佑介,オ,CF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
松井 佑介,オ,RF,52.0,-1.0,-0.9,-,-0.1,0.0,-0.2,-,-,
松井 佑介,オ,DH,1.0,-,-,-,-,-,0.0,-,-,
中島 宏之,巨,1B,584.0,4.8,3.5,-0.4,-,1.7,-6.5,-,-,
明石 健志,ソ,1B,314.3,4.4,3.9,-0.2,-,0.7,-3.5,-,-,
明石 健志,ソ,2B,15.0,-1.0,-1.1,0.1,-,0.0,0.0,-,-,
明石 健志,ソ,RF,17.0,0.6,0.7,-,-0.1,0.0,-0.1,-,-,
明石 健志,ソ,DH,7.0,-,-,-,-,-,-0.1,-,-,
中谷 将大,神,1B,5.0,-0.5,-0.5,0.0,-,0.0,-0.1,-,-,
中谷 将大,神,LF,22.0,0.6,0.6,-,0.0,0.0,-0.2,-,-,
中谷 将大,神,CF,15.0,0.4,0.5,-,-0.1,0.0,0.0,-,-,
中谷 将大,神,RF,115.3,-0.1,0.3,-,-0.4,0.1,-0.5,-,-,
小郷 裕哉,楽,LF,112.0,-0.4,0.2,-,0.2,-0.8,-1.1,-,-,
小郷 裕哉,楽,CF,47.0,-0.9,-0.8,-,0.0,0.0,0.2,-,-,
小郷 裕哉,楽,RF,112.3,0.0,0.3,-,-0.4,0.1,-0.4,-,-,
小郷 裕哉,楽,DH,4.0,-,-,-,-,-,0.0,-,-,
田宮 裕涼,日,C,14.0,0.0,-,-,0.0,0.0,0.2,0.1,-0.1,
細川 成也,デ,LF,24.0,-1.2,-0.9,-,-0.3,0.0,-0.2,-,-,
細川 成也,デ,RF,68.0,0.9,-0.3,-,1.2,0.0,-0.3,-,-,
炭谷 銀仁朗,巨,C,298.3,1.1,-,-,0.5,0.6,4.3,0.3,0.7,
樋口 龍之介,日,1B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
樋口 龍之介,日,2B,18.0,0.6,0.5,0.1,-,0.1,0.0,-,-,
樋口 龍之介,日,3B,122.0,-2.3,-2.1,-0.1,-,-0.1,-0.5,-,-,
渡辺 直人,楽,SS,1.0,0.3,0.2,0.1,-,0.0,0.0,-,-,
渡辺 直人,楽,DH,8.0,-,-,-,-,-,-0.1,-,-,
堂林 翔太,広,1B,187.3,-1.0,-1.5,-0.1,-,0.6,-2.1,-,-,
堂林 翔太,広,3B,726.0,-1.9,2.3,-0.1,-,-4.0,-2.8,-,-,
堂林 翔太,広,LF,13.0,-0.4,-0.5,-,0.0,0.0,-0.1,-,-,
堂林 翔太,広,RF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
鈴木 誠也,広,CF,3.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
