                   Player    G   PA   AB    R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%     BB%  BB/K   wSB    TTO% Age  Pos  B                Team League
31      Nakatani Masahiro   62  131  116   14   21   5   0   6   44   19   0   0   2   0   37   12    0   1    0  0.181  0.264  0.379  0.643    83  0.198  0.205   28.2%    9.2%  0.32  -0.0   42.0%  26    9  R      Hanshin Tigers     CL
32          Navarro Efren   15   45   43    1    9   2   0   0   11    2   0   0   0   0    9    2    0   0    2  0.209  0.244  0.256  0.500    43  0.047  0.265   20.0%    4.4%  0.22  -0.0   24.4%  33    3  L      Hanshin Tigers     CL
33             Nishi Yuki   26   60   44    2    9   2   0   0   11    4   0   0  13   0   18    3    0   0    1  0.205  0.255  0.250  0.505    45  0.045  0.346   30.0%    5.0%  0.17  -0.0   35.0%  28    1  R      Hanshin Tigers     CL
38           Oyama Yusuke  143  587  538   52  139  33   1  14  216   76   3   0   1   4   98   39    3   5   12  0.258  0.312  0.401  0.713   104  0.143  0.291   16.7%    6.6%  0.40   0.3   25.7%                  Hanshin Tigers     CL
39           Saiki Hiroto    3    6    6    0    0   0   0   0    0    0   0   0   0   0    5    0    0   0    0  0.000  0.000  0.000  0.000  -106  0.000  0.000   83.3%    0.0%  0.00   0.0   83.3%  20    1  R      Hanshin Tigers     CL
41      Sakamoto Seishiro   20   44   40    2    7   0   0   2   13    3   0   0   3   0    8    1    1   0    2  0.175  0.195  0.325  0.520    45  0.150  0.167   18.2%    2.3%  0.12  -0.0   25.0%  25    2  R      Hanshin Tigers     CL
42          Shimada Kairi    7    5    4    2    1   1   0   0    2    0   0   0   0   0    1    1    0   0    0  0.250  0.400  0.500  0.900   160  0.250  0.333   20.0%   20.0%  1.00  -0.0   40.0%  23    9  L      Hanshin Tigers     CL
44      Solarte Yangervis   20   80   69    6   13   3   0   4   28    9   0   0   0   2   13    9    0   0    4  0.188  0.275  0.406  0.681    93  0.218  0.167   16.2%   11.2%  0.69  -0.0   32.5%  31    4  R      Hanshin Tigers     CL
46       Takahashi Haruto   19   31   30    1    3   0   0   0    3    0   0   0   1   0   13    0    0   0    0  0.100  0.100  0.100  0.200   -46  0.000  0.176   41.9%    0.0%  0.00  -0.0   41.9%  23    1  L      Hanshin Tigers     CL
48          Takayama Shun  105  300  271   25   73  12   0   5  100   29   9   3   2   0   56   24    4   3    3  0.269  0.336  0.369  0.705   103  0.100  0.324   18.7%    8.0%  0.43   0.4   28.3%  26    9  L      Hanshin Tigers     CL
50       Toritani Takashi   74  105   92    9   19   3   1   0   24    4   1   0   1   0   16   12    0   0    2  0.207  0.298  0.261  0.559    62  0.054  0.250   15.2%   11.4%  0.75   0.1   26.7%  38    6  L      Hanshin Tigers     CL
51               Ueda Kai   81   37   33   22    8   0   0   1   11    2  12   2   2   0    8    1    0   1    0  0.242  0.286  0.333  0.619    77  0.091  0.292   21.6%    2.7%  0.12   1.4   27.0%  23    4  S      Hanshin Tigers     CL
52          Uemoto Hiroki   62  119  104   10   20   4   0   1   27    6   5   0   3   1   37   11    0   0    1  0.192  0.267  0.260  0.527    51  0.068  0.284   31.1%    9.2%  0.30   0.8   41.2%  32    4  R      Hanshin Tigers     CL
53          Umeno Ryutaro  129  492  433   49  115  22   3   9  170   59  14   3  16   3   83   34    4   6   16  0.266  0.326  0.393  0.719   107  0.127  0.308   16.9%    6.9%  0.41   1.2   25.6%  28    2  R      Hanshin Tigers     CL
54      Yamazaki Noriharu    2    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -106  0.000         100.0%    0.0%  0.00   0.0  100.0%  32    3  R      Hanshin Tigers     CL
55         Yokawa Naomasa   28   60   55    3    6   1   0   3   16    4   0   0   1   0   19    4    1   0    2  0.109  0.169  0.291  0.460    28  0.182  0.091   31.7%    6.7%  0.21  -0.0   43.3%  27    7  R      Hanshin Tigers     CL
56           Abe Tomohiro  114  295  264   23   67  12   0   8  103   28   5   2   6   1   60   23    0   1    9  0.254  0.315  0.390  0.705    98  0.136  0.299   20.3%    7.8%  0.38   0.1   30.8%  30    5  L      Hiroshima Carp     CL
57           Aduwa Makoto   19   28   25    2    2   0   0   0    2    1   0   0   3   0   19    0    0   0    0  0.080  0.080  0.080  0.160   -56  0.000  0.333   67.9%    0.0%  0.00  -0.0   67.9%  20    1  R      Hiroshima Carp     CL
58         Aizawa Tsubasa  126  447  376   38  104  21   2  12  165   63   2   1   3   0   81   58    5  10    6  0.277  0.387  0.439  0.826   133  0.162  0.325   18.1%   13.0%  0.72  -0.2   33.8%  31    2  R      Hiroshima Carp     CL
60         Batista Xavier  103  423  372   54  100  11   1  26  191   64   0   0   0   3  108   45    2   3    6  0.269  0.350  0.513  0.863   141  0.244  0.307   25.5%   10.6%  0.42  -0.1   42.3%  27    3  R      Hiroshima Carp     CL
61        Chono Hisayoshi   72  197  180   13   45   7   1   5   69   20   0   2   0   1   40   15    2   1   11  0.250  0.310  0.383  0.693    95  0.133  0.294   20.3%    7.6%  0.38  -0.7   30.5%  34    7  R      Hiroshima Carp     CL
62        Dobayashi Shota   28   38   34    1    7   0   1   0    9    2   0   0   2   0    9    2    0   0    0  0.206  0.250  0.265  0.515    45  0.059  0.280   23.7%    5.3%  0.22  -0.0   28.9%  27    3  R      Hiroshima Carp     CL
63          Endoh Atsushi   34    2    2    0    0   0   0   0    0    0   0   0   0   0    2    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000         100.0%    0.0%  0.00   0.0  100.0%  20       R      Hiroshima Carp     CL
67           Horie Atsuya   11    2    2    0    1   0   0   0    1    0   0   0   0   0    0    0    0   0    0  0.500  0.500  0.500  1.000   184  0.000  0.500    0.0%    0.0%        -0.0    0.0%  22    1  L      Hiroshima Carp     CL
70     Ishihara Yoshiyuki   31   67   56    3   11   2   0   1   16    5   0   0   5   1   18    5    0   0    1  0.196  0.258  0.286  0.544    53  0.090  0.263   26.9%    7.5%  0.28  -0.0   35.8%  39    2  R      Hiroshima Carp     CL
71      Isomura Yoshitaka   65  117  108   10   30   9   0   4   51   21   0   1   3   1   24    5    0   0    3  0.278  0.307  0.472  0.779   117  0.194  0.321   20.5%    4.3%  0.21  -0.4   28.2%  26    2  R      Hiroshima Carp     CL
72       Iwamoto Takahiro    1    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000         100.0%    0.0%  0.00   0.0  100.0%  33       L      Hiroshima Carp     CL
73           Johnson Kris   27   48   44    1    5   0   0   0    5    3   0   0   2   0   15    2    0   0    5  0.114  0.152  0.114  0.266   -24  0.000  0.172   31.2%    4.2%  0.13  -0.0   35.4%  34    1  L      Hiroshima Carp     CL
75        Kikuchi Ryosuke  138  619  547   77  143  36   2  13  222   48  14   5  28   2  102   41    0   1    5  0.261  0.313  0.406  0.719   102  0.145  0.300   16.5%    6.6%  0.40   0.6   25.2%  29    4  R      Hiroshima Carp     CL
77         Kokubo Tetsuya   51  125  114    5   28   3   0   1   34    5   0   0   1   0   19   10    2   0    3  0.246  0.306  0.298  0.604    71  0.052  0.287   15.2%    8.0%  0.53  -0.0   24.0%  34    5  R      Hiroshima Carp     CL
78           Kozono Kaito   58  197  188   17   40   9   0   4   61   16   1   0   2   0   42    6    1   1    1  0.213  0.241  0.324  0.565    58  0.111  0.254   21.3%    3.0%  0.14   0.1   26.4%  19    6  L      Hiroshima Carp     CL
79              Kuri Aren   27   41   36    1    1   0   0   0    1    0   0   0   4   0   23    1    0   0    0  0.028  0.054  0.028  0.082   -77  0.000  0.077   56.1%    2.4%  0.04  -0.0   58.5%  27    1  R      Hiroshima Carp     CL
80         Lawrence Casey    1    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000         100.0%    0.0%  0.00   0.0  100.0%  31    1  R      Hiroshima Carp     CL
81       Matsuyama Ryuhei  110  327  294   21   76  14   1   6  110   49   0   0   0   2   42   29    1   2    7  0.259  0.327  0.374  0.701    98  0.115  0.282   12.8%    8.9%  0.69  -0.1   23.5%  33    7  L      Hiroshima Carp     CL
82        Mejia Alejandro   56  173  162   13   42   6   0   7   69   17   0   0   0   0   46   11    3   0    2  0.259  0.306  0.426  0.732   105  0.167  0.321   26.6%    6.4%  0.24  -0.0   37.0%  26    5  R      Hiroshima Carp     CL
83         Miyoshi Takumi   43   92   77    9   14   1   0   2   21    7   1   0   6   0   28    9    2   0    1  0.182  0.267  0.273  0.540    53  0.091  0.255   30.4%    9.8%  0.32   0.1   42.4%  26    6  R      Hiroshima Carp     CL
84       Montilla Emailin    2    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000         100.0%    0.0%  0.00   0.0  100.0%  23    1  L      Hiroshima Carp     CL
86        Nakamura Kyohei   43    1    1    0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000  0.000    0.0%    0.0%         0.0    0.0%  30    1  L      Hiroshima Carp     CL
87          Nakamura Yuta    2    1    1    0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000  0.000    0.0%    0.0%         0.0    0.0%  23    1  R      Hiroshima Carp     CL
90        Nishikawa Ryoma  138  585  535   70  159  23   3  16  236   64   6   7  11   5   81   32    4   2    9  0.297  0.336  0.441  0.777   118  0.144  0.323   13.8%    5.5%  0.40  -1.5   22.1%  24    8  L      Hiroshima Carp     CL
91         Noma Takayoshi  123  353  314   52   78  10   5   2  104   16  14   2   6   1   56   27    3   5    5  0.248  0.317  0.331  0.648    83  0.083  0.296   15.9%    7.6%  0.48   1.6   24.1%  26    8  L      Hiroshima Carp     CL
92          Nomura Yusuke   18   32   24    0    1   1   0   0    2    1   0   0   7   0   10    1    0   0    0  0.042  0.080  0.083  0.163   -55  0.041  0.071   31.2%    3.1%  0.10  -0.0   34.4%  30    1  R      Hiroshima Carp     CL
93          Okada Akitake    3    2    1    0    0   0   0   0    0    0   0   0   0   0    0    1    0   0    0  0.000  0.500  0.000  0.500    55  0.000  0.000    0.0%   50.0%  1.00  -0.0   50.0%  25    1  L      Hiroshima Carp     CL
94          Ohsera Daichi   26   60   47    3    6   1   0   0    7    0   0   0   7   0   31    6    0   0    0  0.128  0.226  0.149  0.375     8  0.021  0.375   51.7%   10.0%  0.19  -0.0   61.7%  28       R      Hiroshima Carp     CL
95          Regnault Kyle   52    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000         100.0%    0.0%  0.00   0.0  100.0%  30    1  L      Hiroshima Carp     CL
96         Sakakura Shogo   51   64   61    4   14   4   0   1   21    7   0   0   0   0   19    3    0   0    0  0.230  0.266  0.344  0.610    71  0.114  0.317   29.7%    4.7%  0.16  -0.0   35.9%  21    7  L      Hiroshima Carp     CL
97           Santana Juan   13   34   33    1    6   0   0   0    6    5   0   0   0   0    5    1    0   0    2  0.182  0.206  0.182  0.388    10  0.000  0.214   14.7%    2.9%  0.20  -0.0   17.6%  24    3  R      Hiroshima Carp     CL
98       Shimauchi Sotaro   25    1    0    0    0   0   0   0    0    0   0   0   1   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000           0.0%    0.0%         0.0    0.0%  22    1  R      Hiroshima Carp     CL
99           Shimozuru Ko    2    4    4    0    0   0   0   0    0    0   0   0   0   0    2    0    0   0    1  0.000  0.000  0.000  0.000  -102  0.000  0.000   50.0%    0.0%  0.00   0.0   50.0%  31    9  R      Hiroshima Carp     CL
100           Sone Kaisei   64   31   25   17    5   0   0   0    5    2   5   2   2   0   10    3    1   1    0  0.200  0.310  0.200  0.510    47  0.000  0.333   32.3%    9.7%  0.30   0.2   41.9%  24    5  L      Hiroshima Carp     CL
101          Suzuki Seiya  140  612  499  112  167  31   0  28  282   87  25  16   0   3   81  103   12   7    3  0.335  0.453  0.565  1.018   187  0.230  0.354   13.2%   16.8%  1.27  -1.3   34.6%  24    9  R      Hiroshima Carp     CL
102      Takahashi Hiroki   27   48   43    5   12   1   1   1   18    3   0   1   1   0   11    4    0   0    0  0.279  0.340  0.419  0.759   113  0.140  0.355   22.9%    8.3%  0.36  -0.3   33.3%  25    7  R      Hiroshima Carp     CL
103         Tanaka Kosuke   97  355  311   33   60  13   0   3   82   27   8   3   4   6   89   32    2   2    4  0.193  0.268  0.264  0.532    51  0.071  0.253   25.1%    9.0%  0.36   0.3   34.9%  29    6  L      Hiroshima Carp     CL
104         Tokoda Hiroki   25   49   39    1    5   1   0   0    6    1   0   0   6   0   16    4    0   0    1  0.128  0.209  0.154  0.363     4  0.026  0.217   32.7%    8.2%  0.25  -0.0   40.8%  24    1  L      Hiroshima Carp     CL
105        Uemoto Takashi   31   22   21    5    3   0   0   0    3    0   0   1   1   0    5    0    0   0    1  0.143  0.143  0.143  0.286   -20  0.000  0.188   22.7%    0.0%  0.00  -0.3   22.7%  28    5  S      Hiroshima Carp     CL
106         Yabuta Kazuki    4    2    2    0    0   0   0   0    0    0   0   0   0   0    2    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000         100.0%    0.0%  0.00   0.0  100.0%  26    1  R      Hiroshima Carp     CL
107         Yamaguchi Sho    9    5    5    0    0   0   0   0    0    0   0   0   0   0    5    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000         100.0%    0.0%  0.00   0.0  100.0%  20    1  R      Hiroshima Carp     CL
108         Yasaki Takuya    5    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000         100.0%    0.0%  0.00   0.0  100.0%  24    1  R      Hiroshima Carp     CL
110         Azuma Katsuki    7   13   10    0    1   0   0   0    1    0   0   0   2   0    8    1    0   0    0  0.100  0.182  0.100  0.282   -18  0.000  0.500   61.5%    7.7%  0.12  -0.0   69.2%  23    1  L       DeNA BayStars     CL
111        Barrios Edison    3    5    5    0    0   0   0   0    0    0   0   0   0   0    3    0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   60.0%    0.0%  0.00   0.0   60.0%  30    1  R       DeNA BayStars     CL
