                   Player Age Pos     Inn    TZR  TZR/143   RngR   ARM   DPR  ErrR  Pos Adj Framing Blocking                Team League
0       Kajitani Takayuki  30   7    35.0    0.0      0.0    0.1  -0.1         0.0     -0.3                        DeNA BayStars     EL
1       Kajitani Takayuki  30   8    80.0   -0.8    -12.9   -1.5   0.7         0.0      0.3                        DeNA BayStars     EL
2       Kajitani Takayuki  30   9    77.0    1.1     18.4    1.8  -0.8         0.0     -0.3                        DeNA BayStars     EL
3          Hirata Ryosuke  31   9   817.0    3.1      4.9   -1.2   4.0         0.3     -3.2                     Chunichi Dragons     WL
4       Kuwahara Masayuki  25   7     6.0    0.1     21.4   -0.2   0.3         0.0     -0.1                        DeNA BayStars     EL
5       Kuwahara Masayuki  25   8   136.1    4.0     37.8    2.3   1.7         0.1      0.4                        DeNA BayStars     EL
6       Kuwahara Masayuki  25   9    78.0   -1.4    -23.1   -0.8  -0.7         0.0     -0.3                        DeNA BayStars     EL
7            Kinami Seiya  25   3    28.0   -1.3    -59.8   -1.3        -0.1   0.0     -0.3                       Hanshin Tigers     WL
8            Kinami Seiya  25   4    19.2    1.1     71.9    1.0         0.0   0.1      0.1                       Hanshin Tigers     WL
9            Kinami Seiya  25   6   773.0    2.9      4.8    4.8         1.3  -3.3      6.2                       Hanshin Tigers     WL
10     Sakaguchi Tomotaka  34   3    80.2    0.1      1.6    0.6        -0.1  -0.4     -0.9                      Yakult Swallows     EL
11     Sakaguchi Tomotaka  34   7    18.0   -0.6    -42.9   -0.9   0.3         0.0     -0.2                      Yakult Swallows     EL
12     Sakaguchi Tomotaka  34   8     2.0    0.0      0.0    0.0   0.0         0.0      0.0                      Yakult Swallows     EL
13     Sakaguchi Tomotaka  34   9    47.0   -1.8    -49.3   -1.3  -0.6         0.0     -0.2                      Yakult Swallows     EL
14     Sakaguchi Tomotaka  34  DH     1.0                                               0.0                      Yakult Swallows     EL
15          Tanaka Kosuke  29   6   761.1   -1.4     -2.4    0.1        -0.7  -0.8      6.1                       Hiroshima Carp     WL
16        Yoshikawa Naoki  24   4    85.0    0.6      9.1    0.3         0.5  -0.2      0.2                       Yomiuri Giants     EL
17            Asama Daiki  23   5    67.0   -1.6    -30.7   -0.6         0.0  -1.1     -0.2                   Nipponham Fighters     EL
18            Asama Daiki  23   7     6.0    0.6    128.7    0.6   0.0         0.0     -0.1                   Nipponham Fighters     EL
19          Fukuda Shuhei  26   4  1089.0   -0.7     -0.8   -0.9         0.3  -0.2      2.9                       ORIX Buffaloes     WL
20          Fukuda Shuhei  26   6    49.2    2.9     75.1    1.8         0.7   0.4      0.4                       ORIX Buffaloes     WL
