                  Team   W   L  SV CG SHO    BF      IP     H   HR    SO   BB IBB  HB  WP    R   ER   ERA   FIP kwERA  WHIP ERA+ FIP- kwERA-   Diff   HR%     K%    BB%  K-BB% League
0       Hanshin Tigers  57  58  36  2   1  4367  1051.1   964   83   861  336   8  41  65  439  391  3.35  4.04  3.60  1.24  104   98   96.4  -0.69  1.9%  19.7%   7.7%  12.0%     WL
1       Hiroshima Carp  53  62  28  6   3  4512  1060.1  1036   66   745  351   1  41  58  486  425  3.61  4.09  3.93  1.31   95  101  105.2  -0.48  1.5%  16.5%   7.8%   8.7%     WL
2        DeNA BayStars  66  57  33  1   0  4825  1112.2  1034   58   998  513   1  62  76  569  477  3.86  4.01  3.79  1.39   89   99  101.7  -0.15  1.2%  20.7%  10.6%  10.1%     EL
3       Yomiuri Giants  62  54  28  1   0  4667  1122.1   999   90  1000  345   0  57  41  440  367  2.94  3.91  3.40  1.20  120   94   91.0  -0.97  1.9%  21.4%   7.4%  14.0%     EL
4      Yakult Swallows  61  68  28  2   1  5033  1158.1  1134  114   947  490   5  69  66  604  533  4.14  4.67  3.89  1.40   85  113  104.3  -0.53  2.3%  18.8%   9.7%   9.1%     EL
5     Chunichi Dragons  51  58  24  4   2  4411  1045.0   980   75   805  357   0  54  64  475  397  3.42  4.15  3.78  1.28  109   94  101.4  -0.73  1.7%  18.2%   8.1%  10.2%     WL
6       ORIX Buffaloes  55  53  33  2   1  4206  1028.1   930   48   851  282   2  19  45  389  331  2.90  3.41  3.45  1.18  115   86   92.3  -0.51  1.1%  20.2%   6.7%  13.5%     WL
7        Lotte Marines  66  52  28  0   0  4662  1115.1   967   75   990  434   0  41  50  474  420  3.39  3.95  3.61  1.26  108   92   96.6  -0.56  1.6%  21.2%   9.3%  11.9%     EL
8       SoftBank Hawks  62  46  26  0   0  4314  1032.1   903   62   810  375   8  44  53  440  364  3.17  4.01  3.79  1.24  110   97  101.6  -0.83  1.4%  18.8%   8.7%  10.1%     WL
9       Rakuten Eagles  70  48  34  4   3  4580  1094.1   943   62   964  440   8  50  53  422  368  3.03  3.89  3.66  1.26  115   94   97.9  -0.87  1.4%  21.0%   9.6%  11.4%     EL
10         Seibu Lions  49  66  22  5   2  4504  1050.0  1008  103   787  406   1  59  56  542  441  3.78  4.68  3.95  1.35   95  110  105.9  -0.90  2.3%  17.5%   9.0%   8.5%     EL
11  Nipponham Fighters  48  78  22  1   0  4994  1133.1  1172  134   925  477   5  45  98  630  550  4.37  4.86  3.90  1.46   81  116  104.6  -0.49  2.7%  18.5%   9.6%   9.0%     EL
12      League Average  58  58  28  2   1  4590  1083.2  1006   81   890  400   3  48  60  492  422  3.50  4.14  3.73  1.30  100  100  100.0  -0.64  1.8%  19.4%   8.7%  10.7%    NaN
