                  Team    PA    AB    R     H   2B  3B   HR    TB  RBI   SB  CS   SH  SF    SO   BB IBB  HP  GDP    AVG    OBP    SLG    OPS OPS+    ISO  BABIP   TTO%     K%    BB%  BB/K   wSB League
0       Hanshin Tigers  5465  4835  538  1213  216  20   94  1751  509  100  36  104  30  1044  447  32  49  102  0.251  0.319  0.362  0.681   96  0.111  0.300  29.0%  19.1%   8.2%  0.43   3.5     CL
1       Hiroshima Carp  5504  4852  591  1232  216  17  140  1902  562   81  43  111  26  1106  479  40  36   86  0.254  0.324  0.392  0.716  101  0.138  0.301  31.3%  20.1%   8.7%  0.43  -2.1     CL
2        DeNA BayStars  5375  4778  596  1177  210  14  163  1904  575   40  26   81  26  1065  449  31  41  109  0.246  0.315  0.398  0.713   97  0.152  0.284  31.2%  19.8%   8.4%  0.42  -3.3     CL
3       Yomiuri Giants  5537  4835  663  1242  221  15  183  2042  627   83  20   84  31  1205  540  24  47  106  0.257  0.335  0.422  0.758  107  0.165  0.304  34.8%  21.8%   9.8%  0.45   5.8     CL
4      Yakult Swallows  5572  4833  656  1181  205  19  167  1925  630   62  25   84  29  1212  570  29  56  105  0.244  0.329  0.398  0.728   94  0.154  0.291  35.0%  21.8%  10.2%  0.47   0.6     CL
5     Chunichi Dragons  5350  4816  563  1265  240  31   90  1837  545   63  34  108  29  1024  349  34  48  104  0.263  0.317  0.381  0.698  103  0.119  0.315  27.3%  19.1%   6.5%  0.34  -2.1     CL
6       ORIX Buffaloes  5391  4774  544  1153  181  22  102  1684  516  122  59  101  33  1030  417  17  66   85  0.242  0.309  0.353  0.662   86  0.111  0.286  28.7%  19.1%   7.7%  0.40  -0.3     PL
7        Lotte Marines  5503  4789  642  1194  214  21  158  1924  613   75  35   92  29  1013  505  12  87   99  0.249  0.330  0.402  0.732  109  0.152  0.284  30.5%  18.4%   9.2%  0.50  -0.5     PL
8       SoftBank Hawks  5345  4775  582  1199  172  19  183  1958  559  113  49  100  30  1084  397  21  43   85  0.251  0.312  0.410  0.723  102  0.159  0.287  31.1%  20.3%   7.4%  0.37   1.5     PL
9       Rakuten Eagles  5506  4766  614  1196  195  22  141  1858  589   48  38   98  35  1127  539  19  68  114  0.251  0.333  0.390  0.723  102  0.139  0.299  32.8%  20.5%   9.8%  0.48  -6.1     PL
10         Seibu Lions  5619  4898  756  1299  229  23  174  2096  718  134  49   78  38  1083  556  23  49   88  0.265  0.344  0.428  0.772  110  0.163  0.306  32.3%  19.3%   9.9%  0.51   4.8     PL
11  Nipponham Fighters  5428  4778  560  1200  211  28   93  1746  532   48  25   78  33  1044  496  18  43  106  0.251  0.325  0.365  0.690   95  0.114  0.301  30.1%  19.2%   9.1%  0.48  -1.8     PL
12      League Average  5466  4811  609  1213  209  21  141  1886  581   81  37   93  31  1086  479  25  53   99  0.252  0.325  0.392  0.717  100  0.140  0.297  31.2%  19.9%   8.8%  0.44  -0.0    NaN
