#,,Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs H,vs F,vs B,vs E,vs L,vs M,Inter
,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,143,87,52,4,0.626,--,551,389,162,0.654,44-24(3),43-28(1),--,13-12,16-7(2),14-11,17-8,15-9(1),12-5(1)
,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,143,83,57,3,0.593,4.5,548,409,139,0.631,43-28,40-29(3),12-13,--,12-12(1),16-8(1),15-9(1),17-8,11-7
,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,143,74,66,3,0.529,13.5,502,519,-17,0.485,38-32(2),36-34(1),7-16(2),12-12(1),--,15-10,14-11,15-10,11-7
,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,143,67,74,2,0.475,21.0,446,526,-80,0.425,35-36(1),32-38(1),11-14,8-16(1),10-15,--,13-12,16-9,9-8(1)
,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,143,63,77,3,0.450,24.5,410,465,-55,0.443,35-34(2),28-43(1),8-17,9-15(1),11-14,12-13,--,13-10(2),10-8
,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,143,56,84,3,0.400,31.5,441,553,-112,0.398,33-38(1),23-46(2),9-15(1),8-17,10-15,9-16,10-13(2),--,10-8
