#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/83785150.html>Vosler Jason</a>,122,493,452,37,118,33,2,13,194,58,0,1,0,5,101,30,3,6,5,0.261,0.312,0.429,0.741,133,0.168,0.306,29.2%,20.5%,6.1%,0.30,-0.5,31,3,L,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,<a href=https://npb.jp/bis/eng/players/21625132.html>Hirooka Taishi</a>,118,453,402,43,102,15,1,7,140,34,9,7,8,4,90,39,0,0,9,0.254,0.317,0.348,0.665,105,0.094,0.307,30.0%,19.9%,8.6%,0.43,-1.0,28,8,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/91995151.html>Kurebayashi Kotaro</a>,116,447,400,36,104,20,1,9,153,43,1,2,4,5,57,35,2,3,15,0.260,0.321,0.383,0.704,116,0.123,0.280,22.6%,12.8%,7.8%,0.61,-0.7,23,6,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/51255138.html>Nakagawa Keita</a>,119,463,433,54,123,26,1,12,187,53,10,2,5,4,49,20,1,1,9,0.284,0.314,0.432,0.746,128,0.148,0.295,17.5%,10.6%,4.3%,0.41,0.8,29,8,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/91395138.html>Ohta Ryo</a>,113,496,448,42,127,10,0,10,167,52,0,2,6,4,102,33,3,5,12,0.283,0.337,0.373,0.710,119,0.090,0.344,29.2%,20.6%,6.7%,0.32,-0.9,24,4,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/61965132.html>Sugimoto Yutaro</a>,119,455,401,48,104,15,2,16,171,53,1,0,0,7,123,38,1,9,8,0.259,0.332,0.426,0.758,132,0.167,0.327,38.9%,27.0%,8.4%,0.31,-0.1,34,9,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/81085138.html>Tongu Yuma</a>,129,525,473,41,118,20,0,13,177,54,1,0,0,4,81,43,2,5,10,0.249,0.316,0.374,0.690,112,0.125,0.274,26.1%,15.4%,8.2%,0.53,-0.1,28,3,R,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,<a href=https://npb.jp/bis/eng/players/31635138.html>Fujiwara Kyota</a>,107,452,409,38,111,12,6,4,147,24,15,6,4,0,80,33,2,6,3,0.271,0.335,0.359,0.694,110,0.088,0.329,25.9%,17.7%,7.3%,0.41,0.3,25,9,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625150.html>Nishikawa Misho</a>,108,444,417,42,117,27,3,3,159,37,1,0,0,3,85,16,0,8,6,0.281,0.318,0.381,0.699,111,0.100,0.343,23.4%,19.1%,3.6%,0.19,-0.0,22,7,R,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/51455159.html>Terachi Ryusei</a>,116,445,414,33,106,16,0,5,137,33,0,0,3,2,67,19,2,7,8,0.256,0.299,0.331,0.630,91,0.075,0.294,20.4%,15.1%,4.3%,0.28,-0.2,19,2,L,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
