Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,,Team,League
,Kuwahara Masayuki,2,9,5,2,1,1,0,0,2,0,0,0,1,0,2,1,0,2,1,0.200,0.500,0.400,0.900,162,0.200,0.333,33.3%,22.2%,11.1%,0.50,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Mizutani Shun,1,4,4,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0.500,0.500,0.500,1.000,182,0.000,0.667,25.0%,25.0%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Maki Shugo,2,9,7,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0.143,0.333,0.143,0.476,44,0.000,0.143,11.1%,0.0%,11.1%,1.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Ishida Yutaro,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Kurebayashi Kotaro,2,8,8,1,2,0,0,1,5,3,0,0,0,0,3,0,0,0,1,0.250,0.250,0.625,0.875,146,0.375,0.250,50.0%,37.5%,0.0%,0.00,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Wakatsuki Kenya,2,6,5,1,2,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0.400,0.500,0.600,1.100,222,0.200,0.500,33.3%,16.7%,16.7%,1.00,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Wakabayashi Gakuto,2,6,5,1,2,0,0,1,5,2,0,0,1,0,1,0,0,0,0,0.400,0.400,1.000,1.400,298,0.600,0.333,33.3%,16.7%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Ebina Tatsuo,2,10,10,1,4,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0.400,0.400,0.400,0.800,131,0.000,0.500,20.0%,20.0%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Gunji Yuya,2,8,7,3,3,1,0,1,7,1,0,0,0,0,2,0,0,1,0,0.429,0.500,1.000,1.500,306,0.571,0.500,37.5%,25.0%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Nomura Yuki,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,0.0%,0.0%,0.0%,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Tongu Yuma,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,0.0%,0.0%,0.0%,,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
