Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,League
Yomiuri Giants,139,121,4,16,2,0,1,21,4,0,0,1,1,41,13,0,3,3,0.132,0.232,0.174,0.405,20,0.041,0.188,39.6%,29.5%,9.4%,0.32,0.2,CL
SoftBank Hawks,222,199,36,57,9,1,11,101,32,1,2,3,1,41,15,2,4,1,0.286,0.347,0.508,0.855,147,0.221,0.311,30.2%,18.5%,6.8%,0.37,-0.2,PL
Lotte Marines,78,70,7,20,3,0,1,26,7,1,1,2,0,21,5,0,1,1,0.286,0.342,0.371,0.714,105,0.086,0.396,34.6%,26.9%,6.4%,0.24,-0.0,PL
League Average,146,130,16,31,5,0,4,49,14,1,1,2,1,34,11,1,3,2,0.238,0.309,0.379,0.689,100,0.141,0.290,34.8%,23.5%,7.5%,0.32,-0.0,
