Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Yoshikawa Naoki,25,4,747.0,11.5,19.8,8.1,,1.0,2.4,2.0,,,Yomiuri Giants,CL
Yoshikawa Naoki,25,6,68.0,1.6,30.3,0.9,,0.4,0.4,0.6,,,Yomiuri Giants,CL
Itoi Yoshio,38,9,538.2,-8.5,-20.3,-6.8,-1.0,,-0.6,-2.1,,,Hanshin Tigers,CL
Sakaguchi Tomotaka,35,3,354.2,-7.4,-26.9,-7.0,,0.0,-0.4,-4.0,,,Yakult Swallows,CL
Sakaguchi Tomotaka,35,7,50.2,-1.6,-40.6,-2.3,0.7,,0.0,-0.5,,,Yakult Swallows,CL
Sakaguchi Tomotaka,35,8,221.1,-4.0,-23.3,-4.3,0.2,,0.1,0.7,,,Yakult Swallows,CL
Sakaguchi Tomotaka,35,9,205.1,-5.1,-32.0,-3.2,-1.9,,0.1,-0.8,,,Yakult Swallows,CL
Ohshima Yohei,34,8,1023.0,-4.6,-5.8,-6.8,1.8,,0.4,3.4,,,Chunichi Dragons,CL
Ueda Tsuyoshi,31,7,87.1,2.6,38.3,1.4,1.2,,0.1,-0.8,,,Yakult Swallows,CL
Ueda Tsuyoshi,31,8,3.0,-0.3,-128.7,-0.3,0.0,,0.0,0.0,,,Yakult Swallows,CL
Ueda Tsuyoshi,31,9,51.1,-1.8,-45.2,-1.0,-0.8,,0.0,-0.2,,,Yakult Swallows,CL
Kajitani Takayuki,31,8,731.1,-0.7,-1.2,-0.9,0.0,,0.3,2.4,,,DeNA BayStars,CL
Kajitani Takayuki,31,9,163.2,-4.0,-31.4,-1.6,-1.6,,-0.8,-0.6,,,DeNA BayStars,CL
Pirela Jose,30,3,57.0,-1.1,-24.8,-0.6,,-0.1,-0.4,-0.6,,,Hiroshima Carp,CL
Pirela Jose,30,5,14.0,-0.9,-82.7,-0.2,,-0.1,-0.6,-0.1,,,Hiroshima Carp,CL
Pirela Jose,30,7,519.1,-9.7,-24.0,-7.2,-2.7,,0.2,-4.9,,,Hiroshima Carp,CL
Noma Takayoshi,27,7,43.0,0.3,9.0,0.6,-0.4,,0.0,-0.4,,,Hiroshima Carp,CL
Noma Takayoshi,27,8,82.1,-0.5,-7.8,-1.7,1.1,,0.0,0.3,,,Hiroshima Carp,CL
Noma Takayoshi,27,9,10.0,1.0,128.7,0.6,0.4,,0.0,0.0,,,Hiroshima Carp,CL
Spangenberg Cory,29,5,345.0,-2.6,-9.7,0.0,,-1.3,-1.4,-1.3,,,Seibu Lions,PL
Spangenberg Cory,29,7,590.0,-4.7,-10.3,-0.1,-3.3,,-1.3,-5.6,,,Seibu Lions,PL
Spangenberg Cory,29,9,12.0,-0.4,-42.9,0.4,0.0,,-0.8,0.0,,,Seibu Lions,PL
Nishikawa Haruki,28,8,831.0,-6.8,-10.5,-2.2,-4.2,,-0.4,2.8,,,Nipponham Fighters,PL
Nishikawa Haruki,28,DH,135.0,,,,,,,-1.6,,,Nipponham Fighters,PL
Okada Takahiro,32,3,323.1,2.5,10.0,2.8,,-0.3,0.0,-3.6,,,ORIX Buffaloes,PL
Okada Takahiro,32,7,342.1,-4.1,-15.4,-2.3,-1.9,,0.1,-3.2,,,ORIX Buffaloes,PL
Okada Takahiro,32,DH,72.0,,,,,,,-0.9,,,ORIX Buffaloes,PL
Mogi Eigoro,26,5,254.0,5.7,28.9,4.0,,0.1,1.6,-1.0,,,Rakuten Eagles,PL
Mogi Eigoro,26,6,333.1,1.1,4.2,2.0,,0.1,-1.0,2.7,,,Rakuten Eagles,PL
Mogi Eigoro,26,DH,17.0,,,,,,,-0.2,,,Rakuten Eagles,PL
Uebayashi Seiji,24,8,98.2,-0.3,-3.9,-0.3,-0.1,,0.0,0.3,,,SoftBank Hawks,PL
